,Month,CNGOnly,DIESEL,Diesel_Hybrid,Electric_BOV,LPGOnly,Petrol,Petrol_CNG,Petrol_Hybrid,Petrol_LPG,Ethanol,NotApplicable,year
0,Apr-17,1825,193689,3412.0,5063,89,1432174,16879,108,4941,1.0,6784,17
1,May-17,1918,182173,4172.0,7080,160,1510907,17968,88,5198,1.0,7403,17
2,Jun-17,2352,194894,4717.0,7508,218,1423800,18768,123,6000,1.0,6784,17
3,Jul-17,2081,196529,4161.0,9031,521,1309851,18069,30,5427,1.0,6897,17
4,Aug-17,1532,185968,3201.0,9174,643,1241005,20652,31,5891,,5359,17
5,Sep-17,1745,196562,3440.0,7795,532,1262629,25744,36,6189,,6264,17
6,Oct-17,2316,212104,4548.0,7715,212,1756702,30888,35,7353,,6626,17
7,Nov-17,2332,244725,5023.0,10303,422,1898134,37280,22,8273,6.0,7671,17
8,Dec-17,1787,199253,3570.0,9054,458,1267974,29560,19,5959,11.0,8602,17
9,Jan-18,2552,240793,4996.0,8888,229,1495758,37337,34,7423,6.0,8673,18
10,Feb-18,2348,220106,4400.0,7453,268,1359532,34433,38,8162,,6099,18
11,Mar-18,2428,248625,5042.0,7830,329,1578613,34379,64,8793,,6601,18
12,Apr-18,2678,229411,4556.0,7513,479,1554402,34349,75,8452,5.0,6843,18
13,May-18,2401,226243,4741.0,8542,375,1696579,33337,52,8718,,6521,18
14,Jun-18,2113,212531,4336.0,8924,270,1537263,30929,89,8975,1.0,6032,18
15,Jul-18,2032,233916,4422.0,11385,213,1532951,31449,49,9891,1.0,6112,18
16,Aug-18,2100,210601,4436.0,11646,435,1408636,30689,247,9380,,5225,18
17,Sep-18,2361,200860,4066.0,14332,388,1376823,28672,1666,8899,,5322,18
18,Oct-18,2777,228381,4365.0,15173,359,1475062,31371,2344,9465,1.0,7133,18
19,Nov-18,2538,228507,4549.0,14179,257,1870869,34527,2712,9091,9.0,6679,18
20,Dec-18,2626,216289,4646.0,15550,390,1608323,28080,4315,7500,,8354,18
21,Jan-19,2972,240559,7138.0,13159,329,1499611,29592,6791,8039,,6157,19
22,Feb-19,2478,209460,5582.0,11552,557,1335981,26608,5537,8466,,6344,19
23,Mar-19,2744,224958,5525.0,14377,553,1479944,25575,6153,8988,1.0,5959,19
24,Apr-19,2848,208815,4452.0,10566,639,1461234,26842,6697,7723,1.0,4218,19
25,May-19,2607,210313,3500.0,9782,227,1553034,27920,6864,8154,2.0,4362,19
26,Jun-19,2214,191700,2010.0,10765,201,1454150,23671,6284,7079,2.0,3690,19
27,Jul-19,2504,216373,1574.0,12205,216,1518595,28455,5840,9048,1.0,5119,19
28,Aug-19,2492,197377,1202.0,12807,200,1369957,26943,5779,7982,,4342,19
29,Sep-19,2283,175314,1006.0,15828,205,1267515,23291,5857,7762,2.0,4047,19
30,Oct-19,2565,201909,1391.0,15196,50,1589529,34150,8716,8098,,5034,19
31,Nov-19,2738,227895,1381.0,18502,254,1964346,36480,7040,9525,,5752,19
32,Dec-19,2071,198516,913.0,16439,273,1406598,26225,5417,6914,1.0,6229,19
33,Jan-20,2903,240539,1294.0,16437,168,1453790,35384,5877,8910,,6656,20
34,Feb-20,3328,229299,645.0,16149,325,1442204,28310,5195,8932,1.0,6294,20
35,Mar-20,6730,273081,478.0,13625,1227,1981769,21436,7492,8162,,6256,20
36,Apr-20,1868,39286,88.0,901,74,331209,2938,429,685,,299,20
37,May-20,186,15868,,1277,193,186108,1142,1678,142,,1401,20
38,Jun-20,1831,78836,1.0,6210,786,892198,7268,6312,536,1.0,4732,20
39,Jul-20,2410,126481,1.0,7515,907,1007219,10772,6275,806,,5482,20
40,Aug-20,2841,127881,3.0,8118,893,1049013,13470,7884,409,,5388,20
41,Sep-20,4054,150364,41.0,10676,1330,1179248,14440,8979,1782,,7309,20
42,Oct-20,4670,141271,13.0,10716,1286,1205734,17970,9934,613,,6600,20
43,Nov-20,5805,153067,5.0,12861,1332,1661753,21842,11956,1281,,6387,20
44,Dec-20,4751,172495,9.0,14986,1314,1631449,21381,11636,1284,,6679,20
45,Jan-21,5928,168177,8.0,16214,1074,1380484,27371,12738,2328,,6134,21
46,Feb-21,10821,169818,5.0,19120,887,1278860,23583,10583,2644,,6055,21
47,Mar-21,13411,191342,,26080,761,1397302,26062,12006,3225,,7722,21
48,Apr-21,8355,126129,4.0,14179,1322,1015056,15277,8027,975,,3645,21
49,May-21,2202,51250,2.0,3312,319,468170,8798,2981,179,,670,21
50,Jun-21,7022,124010,3.0,11200,473,1056615,13648,7191,561,,2783,21
51,Jul-21,13754,181007,2.0,26182,1325,1298604,26058,12398,826,,4736,21
52,Aug-21,16091,168937,5.0,28962,1405,1135887,24529,11864,810,,5454,21
53,Sep-21,20676,147345,,34382,1495,1065922,18866,10403,747,,5688,21
54,Oct-21,21582,132883,1.0,38723,1268,1143448,16613,12604,522,,6042,21
55,Nov-21,22331,137209,2.0,42098,1662,1588245,17016,11714,548,,4699,21
56,Dec-21,21525,156868,2.0,50915,1399,1302529,18756,9919,496,,5882,21
57,Jan-22,23059,157663,3.0,48169,1241,1174882,26727,10809,485,,4805,22
58,Feb-22,20480,151020,4.0,54046,1018,1113704,30363,9359,315,,5174,22
59,Mar-22,24807,187624,3.0,77199,1276,1287888,34965,8072,524,1.0,6131,22
